SECRETARIAAMADO BATISTA                  | BREGA
A BOY NAMED SUEJOHNNY CASH               | COUNTRY
CLOSE EYESCHAOS                          | DANCE
FADEALAN WALKER                          | ELETRôNICA
PROMISEEBEN                              | ELETRôNICA
THE NIGHTSAVICII                         | ELETRôNICA
WAKE ME UPAVICII                         | ELETRôNICA
ANGETENARROMPASSO                        | ELETRôNICA
A STRANGER`S DEADCADMIUN & PAUL FLINT    | ELETRôNICA
THE MOTTOTIESTO                          | ELETRôNICA
BAILE DA SERRABRAãO                     | FUNK
ODIUMLXST CXNTURY                        | HIP-HOP
INK GAMESHP MUSIC                        | HIP-HOP
BABY SHARKPINKFONG                       | INFANTIL
HOY MUERO FELIZFRANCISCO, EL HOMBRE      | LATINA
NOTHING ELSE MATTERSMETALLICA            | METAL
GAROTA DE IPANEMATOM JOBIM               | MPB
LA COPA DELA VIDARICK MARTIN             | POP
BOOMANASTACIA                            | POP
BONESIMAGINE DRAGONS                     | POP
THRILLERMICHAEL JACKSON                  | POP
UM MINUTO PARA O FIM DO MUNDOCPM 22      | POP
THE TIME OF OUR LIVESII DIVO             | POP
HEAT WAVESGLASS ANIMALS                  | POP
MADNE-YO                                 | POP
WAKA WAKASHAKIRA                         | POP
TATU BOM DE BOLAARLINDO CRUZ             | POP
WE ARE ONEPITBULL                        | POP
I WANT IT THAT WAYBACKSTREET BOYS        | POP
THUNDERIMAGINE DRAGONS                   | POP
O SOLVITOR KLEY                          | POP
HAYYA HAYYATRINIDAD CARDONA              | POP
ONE WORLDREDONE                          | POP
ACORDA, PEDRINHOJOVEM DIONISIO           | POP ROCK
LONELYAKON                               | R&B
DIáRIO DE UM DETENTORACIONAIS MC�S    | RAP
QUER VOARMATUê                          | RAP
A CARA DO CRIMEMC POZE DO RODO           | RAP
LOSE YOURSELFEMINEM                      | RAP
IN DA CLUB50 CENT                        | RAP
ENEMYIMAGINE DRAGONS                     | ROCK
PRIMEIROS ERROSCAPITAL INICIAL           | ROCK
NUMBLINKIN PARK                          | ROCK
HELL AIN'T A BAD PLACE TO BEACDC         | ROCK
BOULEVARD OF BROKEN DREAMSGREEN DAY      | ROCK
HOW YOU REMIND MENICKELBACK              | ROCK
